模型名称,所用模型 id,Provider,input_cost_per_1M_tokens,output_cost_per_1M_tokens,cache_read_input_cost_per_1M_tokens,部署 model_id
ai-seek-action-suggestion,gemini-2.5-flash-lite,vertex_ai,0.075,0.3,0.01,2a3635da-0514-4acb-a366-1a8f347ae39f
ai-seek-action-suggestion,gemini-2.5-flash-lite,vertex_ai,0.075,0.3,0.01,2d69a3d9-d1f7-479d-9cfe-0dec505ce0dd
ai-seek-action-suggestion,gemini-2.5-flash-lite,vertex_ai,0.075,0.3,0.01,5727a2b3-d762-4526-947a-f942fc3516f1
ai-seek-fast-small,gemini-2.5-flash-lite,vertex_ai,0.075,0.3,0.01,cdc558c0-8387-401e-b207-7c1e562a0c58
ai-seek-fast-small,gemini-2.5-flash-lite,vertex_ai,0.075,0.3,0.01,b486d7f3-bab6-48aa-ba07-12779e183df7
ai-seek-fast-small,gemini-2.5-flash-lite,vertex_ai,0.075,0.3,0.01,80e998e0-e906-4d2e-aced-a18953751be3
ai-seek-gemini-flash-lite,google/gemini-2.5-flash-lite,openrouter,0.105,0.42,,e958cd2c-ed32-4452-96a5-33bfc68bef96
ai-seek-gemini-flash-lite,gemini-2.5-flash-lite-preview-09-2025,cometapi,0.04,0.16,0.01,c3e9257d-b627-4978-b39a-8e0e57c89111
ai-seek-gemini-flash,gemini-3-flash,cometapi,0.12,1,0.075,42033a7d-76d2-4c9d-906e-6ce4f8bdb61a
ai-seek-gemini-pro,gemini-3.1-pro-preview,ominilink_gemini,1.44,8.64,0.2,e95a292d-ca00-4c81-b080-eed129a30318
ai-seek-gemini-pro,gemini-3.1-pro-preview,cometapi,0.8,4.8,0.2,8042a697-34b8-4536-b004-4780aff9a1b3
ai-seek-gpt-4o-mini,gpt-4o-mini,azure_openai_v1,0.11,0.45,0.075,0fd194d0-645b-486e-9984-d9d709bfffb8
ai-seek-gpt-4o-mini,gpt-4o-mini-2024-07-18,cometapi,0.06,0.24,0.075,24922b5c-7e63-4e82-bd19-4af62b7ef29f
ai-seek-gpt-5,gpt-5.4,azure_openai_v1,1.88,11.25,0.25,79d59608-cb2a-4070-bc68-7582fd9a27e5
ai-seek-gpt-5,gpt-5.4,deerapi,1.25,7.5,,99af851b-ef92-4a09-9c19-6a4e8799543d
ai-seek-deepseek-chat,deepseek-v4-flash,deepseek,0.14,0.29,,5de6cbdd-ce7f-4948-b2fd-7bca963d67fd
ai-seek-deepseek-chat,deepseek-v4-flash,cometapi,0.12,0.24,,8ea71e8e-0386-4294-8301-1edae6205079
ai-seek-deepseek-reasoning,deepseek-v4-pro,deepseek,1.71,3.42,,ef71c84b-2d13-48c7-abc6-fb61dce4a95e
ai-seek-deepseek-reasoning,deepseek-v4-pro,cometapi,1.2,2.4,,28b5bd03-e172-4af3-95bf-7484277c5600
ai-seek-claude-sonnet,claude-sonnet-4-6,deerapi,1.5,7.5,0.3,ae984713-7ca5-486f-a3fb-686f99452adf
ai-seek-claude-sonnet,claude-sonnet-4-6,deerapi,2.25,11.3,0.3,46f646f7-fb75-4d6f-8986-de1d3b484346
ai-seek-claude-sonnet,global.anthropic.claude-sonnet-4-6,funcloud_claude,1.95,9.75,0.3,d7adc7ba-e256-47a0-94b0-47503f80230a
ai-seek-grok,grok-4-1-fast-non-reasoning,shubiaobiao,0.16,0.4,,799d4909-fba0-4d40-b2d9-7657f3d4dd47
ai-seek-grok,grok-4.3,cometapi,0.5,1,,7ef8194d-b60f-4e3e-ac58-b90a8a8a682e
ai-seek-grok-fast,grok-4.3,cometapi,0.5,1,,21fa0b50-634c-459b-b847-a364b08de496
ai-seek-grok-fast,grok-4-fast-non-reasoning,shubiaobiao,0.16,0.4,,7c17cdf1-10e5-45d7-8a66-d44e8ff6f373
ai-seek-qwen-coder-32b,qwen/qwen3-coder-30b-a3b-instruct,openrouter,0.063,0.2625,,6ab5400a-45eb-4b83-bde5-8e172578367a
ai-seek-qwen3.6-plus,qwen3.6-plus,dashscope,0.17,1.03,,00b763e0-d3a9-45ba-82f0-7bef731b97ee
ai-seek-qwen-32b,qwen/qwen3-32b,openrouter,0.0525,0.21,,32b5cc85-94fa-4ba1-a785-975263848e8e
ai-seek-kimi-2.5,moonshotai/kimi-k2.5,openrouter,0.525,2.94,,b2f9bc8e-dd7b-4059-a901-792a3608c08b
ai-seek-image-generate-llm,qwen3.6-plus,dashscope,0.17,1.03,,dc1ab18c-fade-4c6c-8741-bc9095b76846
ai-seek-image-translate-llm,gemini-2.5-flash-lite,vertex_ai,0.07,0.3,0.01,7aca94c7-d7a3-4b53-a99f-dcbc2de86e93
ai-seek-pdf-parse,google/gemini-2.5-flash-lite,openrouter,0.105,0.42,,8a7d23a1-81c9-45a9-b032-7c99dc17fff5
ai-seek-wrap-report-analysis,openai/gpt-5-nano,openrouter,0.05,0.4,0.005,4382f17c-9a34-4cf8-9601-90efebd71dba
ai-seek-search-intention,x-ai/grok-4-fast,openrouter,0.21,0.52,,1f067181-e346-4494-97c0-79dc8e39396a
